GEOID,count,rate,total_pop,total_pop_moe
29510115300,46,8.765243902439025,5248,538
29510115400,31,9.733124018838305,3185,390
29510115500,47,6.6487480548875375,7069,832
29510115600,47,9.76116303219107,4815,585
29510115700,25,6.598046978094484,3789,537
29510116100,16,4.952027236149799,3231,409
29510116200,27,6.327630653855167,4267,365
29510116301,26,7.206208425720621,3608,418
29510116302,8,3.229713362939039,2477,318
29510116400,35,7.123956849175657,4913,616
29510116500,26,5.8022762776166035,4481,535
29510117100,11,7.488087134104833,1469,163
29510117200,27,4.8508803449514915,5566,606
29510117400,43,9.983747387973066,4307,447
29510118100,17,14.642549526270457,1161,192
29510118400,9,5.780346820809248,1557,317
29510118600,31,8.110936682365253,3822,414
29510119101,13,5.025125628140704,2587,275
29510119102,16,4.9428483163422925,3237,309
29510119200,13,7.445589919816723,1746,233
29510119300,18,4.167631396156518,4319,501
29510120200,12,8.75912408759124,1370,232
29510121100,29,16.301292861157954,1779,280
29510121200,14,5.582137161084529,2508,331
29510123100,31,8.493150684931507,3650,454
29510123200,14,6.334841628959276,2210,198
29510123300,13,4.4520547945205475,2920,251
29510124100,35,6.5987933634992455,5304,690
29510124200,21,6.209343583678296,3382,517
29510124300,25,8.434547908232119,2964,249
29510124600,25,12.866700977869275,1943,194
29510125500,27,9.300723389596968,2903,316
29510125600,21,5.017921146953405,4185,463
29510125700,25,6.663113006396588,3752,484
29510126600,72,20.600858369098713,3495,466
29510126700,14,12.855831037649219,1089,199
29510126800,8,2.292263610315186,3490,231
29510126900,54,11.76470588235294,4590,826
29510127000,NA,NA,2052,273
29510127100,17,8.399209486166008,2024,247
29510127200,39,8.693713776192599,4486,584
29510127300,17,4.819960306209243,3527,312
29510127400,29,5.286183011301494,5486,516
29510127500,15,6.026516673362796,2489,268
29510127600,13,4.154682007031001,3129,268
29189210100,42,6.418092909535452,6544,570
29189210200,67,10.483492411203255,6391,833
29189210300,37,10.31502648452746,3587,250
29189210400,59,13.96780303030303,4224,379
29189210501,33,9.246287475483328,3569,458
29189210502,35,10.385756676557863,3370,371
29189210600,78,11.74875734297334,6639,472
29189210702,51,7.852193995381063,6495,650
29189210703,36,9.431490699502227,3817,328
29189210704,14,4.3763676148796495,3199,443
29189210803,48,9.613458842379332,4993,416
29189210804,109,11.138360923768648,9786,977
29189210805,62,10.32644903397735,6004,669
29189210806,45,8.031411743708727,5603,634
29189210912,72,11.190550202051602,6434,395
29189210921,31,7.226107226107226,4290,307
29189210923,22,4.004368401892974,5494,460
29189210924,29,5.8859346458291055,4927,438
29189210925,39,7.187615186140804,5426,470
29189210926,22,7.625649913344888,2885,248
29189210927,43,9.621839337659432,4469,281
29189210928,34,7.918025151374011,4294,319
29189211000,88,12.352610892756879,7124,628
29189211101,57,8.516360376512775,6693,663
29189211102,74,14.095238095238095,5250,343
29189211201,37,6.2405127340192275,5929,557
29189211202,23,6.938159879336349,3315,292
29189211301,71,11.195206559444971,6342,464
29189211331,59,9.017270365275868,6543,538
29189211332,54,8.646917534027223,6245,469
29189211333,39,8.390705679862307,4648,451
29189211334,42,9.836065573770492,4270,338
29189211401,53,9.762387179959477,5429,404
29189211402,19,9.429280397022334,2015,248
29189211500,45,14.075695964967158,3197,424
29189211600,65,10.645266950540453,6106,454
29189211700,39,8.797653958944283,4433,381
29189211801,37,8.855911919578746,4178,476
29189211802,20,5.929439667951379,3373,385
29189211900,66,12.15022091310751,5432,525
29189212001,69,8.864337101747173,7784,619
29189212002,29,11.051829268292682,2624,441
29189212101,32,7.478382799719561,4279,503
29189212102,24,7.540056550424128,3183,376
29189212200,86,12.64334019406057,6802,361
29189212300,44,9.020090200902008,4878,387
29189212400,32,11.107254425546685,2881,343
29189212500,60,11.26126126126126,5328,615
29189212600,57,11.158966327329678,5108,480
29189212700,56,10.85061034683201,5161,496
29189213101,73,16.139730267521553,4523,324
29189213102,8,25.157232704402517,318,58
29189213202,95,14.76760453909529,6433,423
29189213203,48,10.407632263660018,4612,368
29189213204,22,5.484916479680877,4011,489
29189213300,78,9.551800146950772,8166,567
29189213400,70,10.797470306956656,6483,645
29189213500,52,9.75975975975976,5328,323
29189213600,50,11.676786548341896,4282,337
29189213700,44,8.828250401284109,4984,459
29189213800,76,14.52877078952399,5231,385
29189213900,24,12.875536480686696,1864,327
29189214100,8,5.921539600296077,1351,177
29189214200,34,9.62082625919638,3534,295
29189214300,46,11.98540906722251,3838,285
29189214400,55,11.09094575519258,4959,400
29189214500,37,11.025029797377831,3356,312
29189214601,29,7.433991284286081,3901,324
29189214602,26,6.4692709629261005,4019,373
29189214700,76,11.365335726035593,6687,660
29189214800,77,14.998052201012856,5134,428
29189214900,47,7.200857974567183,6527,570
29189215001,19,6.666666666666667,2850,286
29189215003,45,10.349586016559337,4348,253
29189215004,33,11.414735385679695,2891,352
29189215005,43,7.108612993883287,6049,563
29189215102,48,9.57510472770796,5013,486
29189215103,22,8.72669575565252,2521,250
29189215105,15,6.175380815150268,2429,176
29189215141,40,9.431737797689225,4241,231
29189215142,41,5.995905235448962,6838,468
29189215143,27,8.560558021559924,3154,218
29189215144,24,4.04244567963618,5937,389
29189215201,51,7.759014148790507,6573,353
29189215202,67,9.967271645343649,6722,368
29189215231,49,10.795329367702138,4539,268
29189215232,120,14.833127317676144,8090,459
29189215301,50,11.335298118340512,4411,255
29189215302,33,10.794896957801766,3057,262
29189215400,39,7.745779543197616,5035,236
29189215500,30,6.41573994867408,4676,273
29189215600,41,7.976653696498054,5140,280
29189215700,79,12.739880664408966,6201,463
29189215800,80,9.691096305269534,8255,603
29189215900,98,15.003061849357012,6532,430
29189216000,15,11.990407673860911,1251,184
29189216100,34,6.692913385826771,5080,590
29189216200,30,3.8201961033999745,7853,533
29189216300,NA,NA,6661,303
29189216400,40,7.407407407407407,5400,342
29189216500,25,5.316886431305828,4702,224
29189216600,22,11.060834590246355,1989,144
29189216700,24,7.18562874251497,3340,164
29189216800,16,5.029864822382898,3181,169
29189216900,9,4.281636536631779,2102,175
29189217000,41,10.252563140785197,3999,186
29189217200,15,8.068854222700375,1859,145
29189217300,15,4.575960951799878,3278,183
29189217400,20,4.538234626730202,4407,178
29189217500,28,5.239520958083832,5344,240
29189217600,52,7.494955318535601,6938,309
29189217701,28,5.413766434648105,5172,370
29189217702,74,9.668147373922134,7654,380
29189217802,56,7.679648930334613,7292,420
29189217806,69,12.094653812445225,5705,502
29189217807,48,7.998666888851858,6001,362
29189217841,46,8.36059614685569,5502,325
29189217842,52,7.622398123717385,6822,387
29189217851,19,5.939356048765239,3199,155
29189217852,69,11.08433734939759,6225,275
29189217921,32,6.5775950668037,4865,317
29189217923,44,6.058936931974662,7262,398
29189217931,57,8.698306119334656,6553,261
29189217932,34,7.109995817649519,4782,220
29189217941,48,8.605234851201148,5578,345
29189217942,36,6.691449814126394,5380,322
29189217943,10,2.73000273000273,3663,327
29189217944,32,5.712245626561942,5602,317
29189218003,37,4.987195039762771,7419,374
29189218011,54,7.248322147651007,7450,631
29189218012,19,4.238233325897837,4483,251
29189218102,30,8.92325996430696,3362,268
